tokenID,token_name,display_name,blockchain,address,audit,dextoolslink,tokensnifferlink,img_path
61,vidya,Vidya,ethereum,0x3d3d35bb9bec23b06ca00fe472b50e7a4c692c30,6.0/10,https://www.dextools.io/app/ether/pair-explorer/0x3d3d35bb9bec23b06ca00fe472b50e7a4c692c30,https://tokensniffer.com/token/0x3d3d35bb9bec23b06ca00fe472b50e7a4c692c30,https://s2.coinmarketcap.com/static/img/coins/64x64/6709.png
62,paribus,Paribus,ethereum,0xd528cf2e081f72908e086f8800977df826b5a483,8/10,https://www.dextools.io/app/ether/pair-explorer/0xd528cf2e081f72908e086f8800977df826b5a483,https://tokensniffer.com/token/0xd528cf2e081f72908e086f8800977df826b5a483,https://s2.coinmarketcap.com/static/img/coins/64x64/11366.png
63,idavoll-network,Idavoll Network,ethereum,0x92ec47df1aa167806dfa4916d9cfb99da6953b8f,6.5/10,https://www.dextools.io/app/ether/pair-explorer/0x92ec47df1aa167806dfa4916d9cfb99da6953b8f,https://tokensniffer.com/token/0x92ec47df1aa167806dfa4916d9cfb99da6953b8f,https://s2.coinmarketcap.com/static/img/coins/64x64/8726.png
64,covesting,Covesting,ethereum,0xada86b1b313d1d5267e3fc0bb303f0a2b66d0ea7,8.5/10,https://www.dextools.io/app/ether/pair-explorer/0xada86b1b313d1d5267e3fc0bb303f0a2b66d0ea7,https://tokensniffer.com/token/0xada86b1b313d1d5267e3fc0bb303f0a2b66d0ea7,https://s2.coinmarketcap.com/static/img/coins/64x64/2342.png
65,swash,Swash,ethereum,0xa130e3a33a4d84b04c3918c4e5762223ae252f80,9/10,https://www.dextools.io/app/ether/pair-explorer/0xa130e3a33a4d84b04c3918c4e5762223ae252f80,https://tokensniffer.com/token/0xa130e3a33a4d84b04c3918c4e5762223ae252f80,https://s2.coinmarketcap.com/static/img/coins/64x64/12148.png
66,blocery,Blocery,ethereum,0xf8aD7dFe656188A23e89da09506Adf7ad9290D5d,3.5/10,https://www.dextools.io/app/ether/pair-explorer/0xf8aD7dFe656188A23e89da09506Adf7ad9290D5d,https://tokensniffer.com/token/0xf8aD7dFe656188A23e89da09506Adf7ad9290D5d,https://s2.coinmarketcap.com/static/img/coins/64x64/6283.png
67,beyond-protocol,Beyond Protocol,ethereum,0xdF290B162a7D3E0A328cF198308D421954f08b94,10/10,https://www.dextools.io/app/ether/pair-explorer/0xdF290B162a7D3E0A328cF198308D421954f08b94,https://tokensniffer.com/token/0xdF290B162a7D3E0A328cF198308D421954f08b94,https://s2.coinmarketcap.com/static/img/coins/64x64/12293.png
68,cirus-foundation,Cirus Foundation,ethereum,0xa01199c61841fce3b3dafb83fefc1899715c8756,9/10,https://www.dextools.io/app/ether/pair-explorer/0xa01199c61841fce3b3dafb83fefc1899715c8756,https://tokensniffer.com/token/0xa01199c61841fce3b3dafb83fefc1899715c8756,https://s2.coinmarketcap.com/static/img/coins/64x64/11578.png
69,0xbtc,0xBitcoin,ethereum,0xb6ed7644c69416d67b522e20bc294a9a9b405b31,6.0/10,https://www.dextools.io/app/ether/pair-explorer/0xb6ed7644c69416d67b522e20bc294a9a9b405b31,https://tokensniffer.com/token/0xb6ed7644c69416d67b522e20bc294a9a9b405b31,https://s2.coinmarketcap.com/static/img/coins/64x64/2837.png
70,nord-finance,Nord Finance,ethereum,0x6e9730ecffbed43fd876a264c982e254ef05a0de,9/10,https://www.dextools.io/app/ether/pair-explorer/0x6e9730ecffbed43fd876a264c982e254ef05a0de,https://tokensniffer.com/token/0x6e9730ecffbed43fd876a264c982e254ef05a0de,https://s2.coinmarketcap.com/static/img/coins/64x64/8143.png
